BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Revenue,Aug,Dec,Feb,Jul,June,Mar,May,Nov,Oct,Sep,New_Visitor,Returning_Visitor,Avg_Administrative,Avg_Informational,Avg_ProductRelated
0.2,0.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,32.0
0.2,0.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.05,0.14,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.3333333335
0.02,0.05,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,62.75
0.015789474,0.024561404,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,8.116666668421052
0.2,0.2,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.2,0.2,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.1,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.5
0.0,0.022222222,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,246.0
0.0,0.066666667,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,131.66666666666666
0.01875,0.025833333,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,25.484375
0.0,0.028571429,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,40.07142857142857
0.0,0.066666667,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.333333333333332
0.0,0.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,34.0
0.008333333,0.016312636,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26.5,0.0,72.53413560869565
0.2,0.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.007692308,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,25.76666666923077
0.0,0.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,16.0
0.0,0.01,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,149.05833335
0.0,0.008333333,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0208333375
0.2,0.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.033333333,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,35.0
0.0,0.1,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.5
0.2,0.2,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
0.0,0.04,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,31.2
0.002857143,0.00952381,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.15,0.0,35.482638875
0.05,0.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,19.0
0.0,0.05,0.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.75
0.043478261,0.050821256,54.17976426,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.0,0.0,35.172222222222224
0.0,0.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.5
0.0,0.066666667,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,26.0
0.0,0.025,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,26.1875
0.04,0.08,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,18.36666667
0.014285714,0.028571429,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,27.178571428571427
0.015384615,0.020352564,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,40.120054942307696
0.025,0.05625,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,48.5
0.0,0.028571429,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,0.0,59.6
0.028571429,0.071428571,0.0,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,9.0
0.0,0.022222222,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,53.55555555555556
0.0,0.001794872,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,0.0,88.79117258695652
0.0,0.066666667,0.0,0.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,7.333333333333333
0.0,0.006666667,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,20.67777778
0.0,0.05,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,17.0
0.0,0.05,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,22.0
0.003030303,0.006060606,0.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,28.28409090909091
0.017142857,0.057142857,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,15.885714285714286
0.066666667,0.133333333,0.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,26.666666666666668
